C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2026/03/09,10:04:45,001773014685816,MONTHLY_ARCHIVE,001773014685816
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",VIC1,0,"2026/02/01 04:49:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",NSW1,0,"2026/02/01 04:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",QLD1,0,"2026/02/01 04:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",SA1,0,"2026/02/01 04:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",TAS1,0,"2026/02/01 04:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",VIC1,0,"2026/02/01 04:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",NSW1,0,"2026/02/01 05:19:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",QLD1,0,"2026/02/01 05:19:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",SA1,0,"2026/02/01 05:19:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",TAS1,0,"2026/02/01 05:19:03",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",VIC1,0,"2026/02/01 05:19:03",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",NSW1,0,"2026/02/01 05:20:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",QLD1,0,"2026/02/01 05:20:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",SA1,0,"2026/02/01 05:20:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",TAS1,0,"2026/02/01 05:20:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:00:00",VIC1,0,"2026/02/01 05:20:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:30:00",TAS1,0.223,"2026/02/01 05:49:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:30:00",NSW1,3.558,"2026/02/01 05:49:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:30:00",QLD1,6.269,"2026/02/01 05:49:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:30:00",SA1,0,"2026/02/01 05:49:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:30:00",VIC1,0,"2026/02/01 05:49:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 05:30:00",TAS1,3.209,"2026/02/01 05:50:19",SATELLITE,0.6
